abandon оставить
abate|уменьшаться
fill up|наполнить целиком
film|снимать кино
filth|грязь
fin|плавник
find out|выяснить
fine|штраф
fine|тонкий
fine|хороший
fingertip|кончик пальца
fir|ель
firefighter|пожарник
fireplace|камин
firework|фейерверк
firm|твердый
fisherman|рыбак
fishing|рыбалка
fist|кулак
fit|приступ
fit |подходить
fit in with|вписаться
fix|исправить
fixture|крепление
flair|чутье
flake|слоиться
flakes|хлопья
flame|пламя
flank|бок
flap|створка
flare|вспышка
flash|вспышка
flashlight|фонарик
flat|плоский
flat|квартира
flatter|льстить
flavor|вкус
flaw|изъян
flea|блоха
flee |спасаться бегством
fleet|флот
fleeting|мимолетный
flesh|плоть
flex|сгибать
flick|короткое резкое движение
flick|фильм
flick through|просмотреть
flicker|мерцать
flight|полет
flight|бегство
flight attendant|бортпроводник
flinch|дернуться
fling |швырнуть
flip|переворачивать
float|плыть
flock|стадо
flood|потоп
flood in|наплыть
floor|пол
floor|этаж
flop|провал
flour|мука
flourish|процветать
flow|поток
flu|грипп
fluctuate|колебаться
fluent|беглый
fluffy|пушистый
fluid|жидкий
flurry|поток
flush|промывать
flush|румянец
flute|флейта
flutter|трепетать
